Participant,Temperature,Duration,Location,,,,,,,,,#N/A,#N/A,,#N/A,#VALUE!,,,,
18,-15,0.5,0.75,,L4,Cold,,,,,,0.75,-1,,1,1,,,,
18,0,1,1,,L5,No,,,,,,1,0,,1,1,,,,
18,-15,2,0,,L1,No,,,,,,0,0,,1,0,,,,
18,-15,1.5,0.25,,L2,Cold,,,,,,0.25,-1,,1,1,,,,
18,-12,0.5,0.5,,L3,Cold,,,,,,0.5,-1,,1,1,,,,
18,-12,1,0.5,,L3,Cold,,,,,,0.5,-1,,1,1,,,,
18,0,0.1,0,,L1,No,,,,,,0,0,,1,1,,,,
18,9,0.1,0.25,,L1,Hot,,,,,,0,1,,0,1,,,,
18,0,0.5,0.75,,L4,No,,,,,,0.75,0,,1,1,,,,
18,6,0.1,0.25,,L2,Hot,,,,,,0.25,1,,1,1,,,,
18,6,0.1,0,,L1,No,,,,,,0,0,,1,0,,,,
18,6,1,0.75,,L4,Hot,,,,,,0.75,1,,1,1,,,,
18,9,0.5,0.5,,L4,Hot,,,,,,0.75,1,,0,1,,,,
18,-15,1,1,,L5,Cold,,,,,,1,-1,,1,1,,,,
18,-15,0.5,1,,L5,Cold,,,,,,1,-1,,1,1,,,,
18,9,0.1,0.5,,L3,No,,,,,,0.5,0,,1,0,,,,
18,-12,0.1,0.25,,L1,No,,,,,,0,0,,0,0,,,,
18,-15,0.5,0,,L1,Cold,,,,,,0,-1,,1,1,,,,
18,9,0.1,0,,L1,Hot,,,,,,0,1,,1,1,,,,
18,0,1,1,,L5,No,,,,,,1,0,,1,1,,,,
18,-15,1,0.25,,L2,Cold,,,,,,0.25,-1,,1,1,,,,
18,-15,0.1,0.25,,L2,Cold,,,,,,0.25,-1,,1,1,,,,
18,-12,1.5,0.75,,L3,Cold,,,,,,0.5,-1,,0,1,,,,
18,9,0.1,0.75,,L5,Hot,,,,,,1,1,,0,1,,,,
18,9,2,0.25,,L2,Hot,,,,,,0.25,1,,1,1,,,,
18,9,1,1,,L4,Hot,,,,,,0.75,1,,0,1,,,,
18,-12,1.5,1,,L5,Hot,,,,,,1,1,,1,0,,,,
18,0,0.1,0,,L1,No,,,,,,0,0,,1,1,,,,
18,9,1.5,0.75,,L4,Hot,,,,,,0.75,1,,1,1,,,,
18,-12,1.5,0,,L1,No,,,,,,0,0,,1,0,,,,
18,-15,1,0,,L1,No,,,,,,0,0,,1,0,,,,
18,-15,2,0.25,,L2,No,,,,,,0.25,0,,1,0,,,,
18,9,1,0.75,,L4,Hot,,,,,,0.75,1,,1,1,,,,
18,9,1.5,0.25,,L2,Hot,,,,,,0.25,1,,1,1,,,,
18,9,1,0.25,,L2,Hot,,,,,,0.25,1,,1,1,,,,
18,0,0.1,0.25,,L1,No,,,,,,0,0,,0,1,,,,
18,0,0.5,0.5,,L4,No,,,,,,0.75,0,,0,1,,,,
18,6,0.1,0.75,,L5,Hot,,,,,,1,1,,0,1,,,,
18,6,2,0,,L1,Hot,,,,,,0,1,,1,1,,,,
18,-12,2,0,,L1,No,,,,,,0,0,,1,0,,,,
18,9,0.1,0.5,,L5,No,,,,,,1,0,,0,0,,,,
18,0,1,0.25,,L2,No,,,,,,0.25,0,,1,1,,,,
18,6,2,0.25,,L1,Hot,,,,,,0,1,,0,1,,,,
18,-12,1.5,0.75,,L4,Cold,,,,,,0.75,-1,,1,1,,,,
18,-12,1.5,0.25,,L2,Cold,,,,,,0.25,-1,,1,1,,,,
18,9,0.5,0,,L1,Hot,,,,,,0,1,,1,1,,,,
18,-12,1,0,,L1,Cold,,,,,,0,-1,,1,1,,,,
18,9,1,0.75,,L4,Hot,,,,,,0.75,1,,1,1,,,,
18,6,1.5,0.5,,L3,Hot,,,,,,0.5,1,,1,1,,,,
18,-12,1,0.25,,L2,Cold,,,,,,0.25,-1,,1,1,,,,
18,6,1.5,0,,L1,Hot,,,,,,0,1,,1,1,,,,
18,-12,1,0.75,,L4,Cold,,,,,,0.75,-1,,1,1,,,,
18,9,2,1,,L5,Hot,,,,,,1,1,,1,1,,,,
18,6,0.5,0.25,,L2,Hot,,,,,,0.25,1,,1,1,,,,
18,9,1.5,0.5,,L3,Hot,,,,,,0.5,1,,1,1,,,,
18,-12,0.1,0.75,,L5,Cold,,,,,,1,-1,,0,1,,,,
18,-12,0.1,0.5,,L4,No,,,,,,0.75,0,,0,0,,,,
18,9,1,0,,L1,Hot,,,,,,0,1,,1,1,,,,
18,6,1.5,1,,L5,Hot,,,,,,1,1,,1,1,,,,
18,9,0.1,0,,L2,Hot,,,,,,0.25,1,,0,1,,,,
18,9,0.5,0.25,,L2,Hot,,,,,,0.25,1,,1,1,,,,
18,0,0.1,0.75,,L5,No,,,,,,1,0,,0,1,,,,
18,-12,1,0.25,,L3,Cold,,,,,,0.5,-1,,0,1,,,,
18,-15,0.1,0.5,,L3,Cold,,,,,,0.5,-1,,1,1,,,,
18,6,0.5,0.25,,L4,Hot,,,,,,0.75,1,,0,1,,,,
18,-12,0.5,0.25,,L2,No,,,,,,0.25,0,,1,0,,,,
18,0,0.5,0,,L1,No,,,,,,0,0,,1,1,,,,
18,-15,1.5,0.75,,L4,Cold,,,,,,0.75,-1,,1,1,,,,
18,6,1,0.5,,L3,Hot,,,,,,0.5,1,,1,1,,,,
18,9,1.5,0.25,,L3,Hot,,,,,,0.5,1,,0,1,,,,
18,-12,1.5,1,,L5,Cold,,,,,,1,-1,,1,1,,,,
18,0,1,0.25,,L2,No,,,,,,0.25,0,,1,1,,,,
18,6,1,0.25,,L3,Hot,,,,,,0.5,1,,0,1,,,,
18,-15,0.5,1,,L5,Cold,,,,,,1,-1,,1,1,,,,
18,-15,1.5,0.5,,L4,Cold,,,,,,0.75,-1,,0,1,,,,
18,-12,1.5,0,,L1,No,,,,,,0,0,,1,0,,,,
18,-12,0.1,1,,L5,Cold,,,,,,1,-1,,1,1,,,,
18,6,1.5,1,,L5,Hot,,,,,,1,1,,1,1,,,,
18,-12,0.1,0,,L1,No,,,,,,0,0,,1,0,,,,
18,-15,1,0.25,,L2,No,,,,,,0.25,0,,1,0,,,,
18,-12,1,0.75,,L4,Cold,,,,,,0.75,-1,,1,1,,,,
18,-12,0.1,1,,L5,No,,,,,,1,0,,1,0,,,,
18,9,1.5,0,,L1,No,,,,,,0,0,,1,0,,,,
18,-12,1,1,,L5,No,,,,,,1,0,,1,0,,,,
18,9,2,0.25,,L2,Hot,,,,,,0.25,1,,1,1,,,,
18,6,0.1,0.25,,L1,Hot,,,,,,0,1,,0,1,,,,
18,6,1.5,0.25,,L2,Hot,,,,,,0.25,1,,1,1,,,,
18,6,0.1,0,,L1,Hot,,,,,,0,1,,1,1,,,,
18,0,1,0,,L1,No,,,,,,0,0,,1,1,,,,
18,9,2,0.5,,L4,Hot,,,,,,0.75,1,,0,1,,,,
18,-15,0.5,0,,L1,Cold,,,,,,0,-1,,1,1,,,,
18,-15,1,0.75,,L5,Cold,,,,,,1,-1,,0,1,,,,
18,0,2,0.5,,L3,No,,,,,,0.5,0,,1,1,,,,
18,9,1,0.5,,L3,Hot,,,,,,0.5,1,,1,1,,,,
18,-12,2,0.25,,L3,Cold,,,,,,0.5,-1,,0,1,,,,
18,-15,2,0.25,,L2,Cold,,,,,,0.25,-1,,1,1,,,,
18,-15,0.1,0,,L1,Cold,,,,,,0,-1,,1,1,,,,
18,-15,2,0,,L2,Cold,,,,,,0.25,-1,,0,1,,,,
18,0,0.5,1,,L5,No,,,,,,1,0,,1,1,,,,
18,9,2,1,,L5,Hot,,,,,,1,1,,1,1,,,,
18,-12,0.5,1,,L5,No,,,,,,1,0,,1,0,,,,
18,-15,1.5,0.25,,L1,Cold,,,,,,0,-1,,0,1,,,,
18,9,1.5,1,,L5,Hot,,,,,,1,1,,1,1,,,,
18,-15,1,0,,L2,Cold,,,,,,0.25,-1,,0,1,,,,
18,6,1,0.25,,L2,Hot,,,,,,0.25,1,,1,1,,,,
18,-15,2,0.5,,L4,Cold,,,,,,0.75,-1,,0,1,,,,
18,6,0.5,1,,L5,Hot,,,,,,1,1,,1,1,,,,
18,0,1,0.75,,L4,No,,,,,,0.75,0,,1,1,,,,
18,-15,2,0.75,,L4,Cold,,,,,,0.75,-1,,1,1,,,,
18,-12,1,0,,L1,Cold,,,,,,0,-1,,1,1,,,,
18,-15,1,1,,L5,Cold,,,,,,1,-1,,1,1,,,,
18,0,1,0.5,,L2,No,,,,,,0.25,0,,0,1,,,,
18,6,0.5,0.75,,L4,Hot,,,,,,0.75,1,,1,1,,,,
18,-12,0.1,0.25,,L2,Cold,,,,,,0.25,-1,,1,1,,,,
18,-12,1.5,0.25,,L2,No,,,,,,0.25,0,,1,0,,,,
18,-12,2,0,,L1,No,,,,,,0,0,,1,0,,,,
18,-12,2,0.5,,L3,Cold,,,,,,0.5,-1,,1,1,,,,
18,9,0.5,1,,L5,Hot,,,,,,1,1,,1,1,,,,
18,-12,0.5,0,,L1,No,,,,,,0,0,,1,0,,,,
18,0,1.5,0,,L1,No,,,,,,0,0,,1,1,,,,
18,6,1,1,,L5,Hot,,,,,,1,1,,1,1,,,,
18,-15,1.5,0.5,,L2,Cold,,,,,,0.25,-1,,0,1,,,,
18,0,1.5,0.75,,L3,No,,,,,,0.5,0,,0,1,,,,
18,6,0.5,0.5,,L2,Hot,,,,,,0.25,1,,0,1,,,,
18,-12,0.5,0.5,,L4,Cold,,,,,,0.75,-1,,0,1,,,,
18,6,0.1,1,,L5,Hot,,,,,,1,1,,1,1,,,,
18,9,0.1,0.75,,L5,Hot,,,,,,1,1,,0,1,,,,
18,6,1,1,,L5,Hot,,,,,,1,1,,1,1,,,,
18,6,1,0.5,,L2,Hot,,,,,,0.25,1,,0,1,,,,
18,6,2,0.75,,L4,Hot,,,,,,0.75,1,,1,1,,,,
18,0,0.5,0,,L1,No,,,,,,0,0,,1,1,,,,
18,9,0.5,0.25,,L2,Hot,,,,,,0.25,1,,1,1,,,,
18,-15,2,0.5,,L4,Cold,,,,,,0.75,-1,,0,1,,,,
18,0,1,0.5,,L3,No,,,,,,0.5,0,,1,1,,,,
18,-15,1.5,0,,L1,Cold,,,,,,0,-1,,1,1,,,,
18,6,2,0.5,,L4,Hot,,,,,,0.75,1,,0,1,,,,
18,9,2,0,,L1,Hot,,,,,,0,1,,1,1,,,,
18,9,1,0,,L1,Hot,,,,,,0,1,,1,1,,,,
18,0,0.1,0.75,,L5,No,,,,,,1,0,,0,1,,,,
18,9,1,0.5,,L4,Hot,,,,,,0.75,1,,0,1,,,,
18,0,1.5,1,,L5,No,,,,,,1,0,,1,1,,,,
18,-15,0.1,0.25,,L1,Cold,,,,,,0,-1,,0,1,,,,
18,6,2,0.25,,L2,Hot,,,,,,0.25,1,,1,1,,,,
18,0,2,0.5,,L3,No,,,,,,0.5,0,,1,1,,,,
18,-15,1,0.75,,L4,Cold,,,,,,0.75,-1,,1,1,,,,
18,6,2,1,,L5,Hot,,,,,,1,1,,1,1,,,,
18,6,0.1,1,,L4,Hot,,,,,,0.75,1,,0,1,,,,
18,-15,0.5,0.25,,L2,Cold,,,,,,0.25,-1,,1,1,,,,
18,-12,0.1,0.5,,L3,No,,,,,,0.5,0,,1,0,,,,
18,6,1.5,0.75,,L4,Hot,,,,,,0.75,1,,1,1,,,,
18,-15,1.5,1,,L5,Cold,,,,,,1,-1,,1,1,,,,
18,-12,1.5,0.5,,L2,No,,,,,,0.25,0,,0,0,,,,
18,-12,2,0.75,,L3,Cold,,,,,,0.5,-1,,0,1,,,,
18,0,1.5,0,,L1,No,,,,,,0,0,,1,1,,,,
18,0,0.5,1,,L5,No,,,,,,1,0,,1,1,,,,
18,0,0.5,0.5,,L3,No,,,,,,0.5,0,,1,1,,,,
18,6,0.1,0.5,,L5,Hot,,,,,,1,1,,0,1,,,,
18,-15,0.5,0.5,,L3,Cold,,,,,,0.5,-1,,1,1,,,,
18,9,0.5,0.5,,L4,Hot,,,,,,0.75,1,,0,1,,,,
18,6,1.5,0.25,,L1,Hot,,,,,,0,1,,0,1,,,,
18,0,1.5,0.25,,L2,No,,,,,,0.25,0,,1,1,,,,
18,6,2,0.5,,L2,Hot,,,,,,0.25,1,,0,1,,,,
18,-12,0.5,1,,L4,Cold,,,,,,0.75,-1,,0,1,,,,
18,0,1,0.75,,L3,No,,,,,,0.5,0,,0,1,,,,
18,6,0.1,0.5,,L3,Hot,,,,,,0.5,1,,1,1,,,,
18,9,0.5,0,,L1,Hot,,,,,,0,1,,1,1,,,,
18,6,0.5,0.75,,L4,Hot,,,,,,0.75,1,,1,1,,,,
18,-12,2,0.5,,L3,No,,,,,,0.5,0,,1,0,,,,
18,-15,0.1,0.75,,L5,Cold,,,,,,1,-1,,0,1,,,,
18,9,2,0.75,,L5,Hot,,,,,,1,1,,0,1,,,,
18,0,2,0,,L1,No,,,,,,0,0,,1,1,,,,
18,0,1.5,0.5,,L2,Hot,,,,,,0.25,1,,0,0,,,,
18,0,0.1,0.25,,L1,No,,,,,,0,0,,0,1,,,,
18,6,0.5,0,,L1,Hot,,,,,,0,1,,1,1,,,,
18,6,1,0,,L1,Hot,,,,,,0,1,,1,1,,,,
18,6,1,0.75,,L5,Hot,,,,,,1,1,,0,1,,,,
18,-15,0.5,0.5,,L4,Cold,,,,,,0.75,-1,,0,1,,,,
18,9,0.1,1,,L5,Hot,,,,,,1,1,,1,1,,,,
18,-12,0.5,0.25,,L1,Cold,,,,,,0,-1,,0,1,,,,
18,-12,0.5,0,,L1,Cold,,,,,,0,-1,,1,1,,,,
18,-12,2,1,,L5,Cold,,,,,,1,-1,,1,1,,,,
18,9,0.1,0.25,,L1,Hot,,,,,,0,1,,0,1,,,,
18,-12,2,0.25,,L1,Hot,,,,,,0,1,,0,0,,,,
18,-12,0.5,0.75,,L4,Cold,,,,,,0.75,-1,,1,1,,,,
18,0,0.1,0.5,,L3,No,,,,,,0.5,0,,1,1,,,,
18,-12,1.5,0.5,,L2,Cold,,,,,,0.25,-1,,0,1,,,,
18,9,2,0.75,,L4,Hot,,,,,,0.75,1,,1,1,,,,
18,0,0.5,0.25,,L2,No,,,,,,0.25,0,,1,1,,,,
18,0,2,0,,L1,No,,,,,,0,0,,1,1,,,,
18,6,1.5,0,,L1,Hot,,,,,,0,1,,1,1,,,,
18,-15,1.5,0.75,,L4,Cold,,,,,,0.75,-1,,1,1,,,,
18,0,2,0.75,,L4,No,,,,,,0.75,0,,1,1,,,,
18,-15,0.1,1,,L5,Cold,,,,,,1,-1,,1,1,,,,
18,-12,0.5,0.75,,L3,Cold,,,,,,0.5,-1,,0,1,,,,
18,9,2,0.5,,L3,Hot,,,,,,0.5,1,,1,1,,,,
18,0,1.5,1,,L5,No,,,,,,1,0,,1,1,,,,
18,6,1.5,0.75,,L3,Hot,,,,,,0.5,1,,0,1,,,,
18,9,1,1,,L5,Hot,,,,,,1,1,,1,1,,,,
18,0,2,0.25,,L2,No,,,,,,0.25,0,,1,1,,,,
18,-15,0.1,1,,L5,Cold,,,,,,1,-1,,1,1,,,,
18,-15,0.1,0.75,,L5,Cold,,,,,,1,-1,,0,1,,,,
18,-15,0.1,0.5,,L3,No,,,,,,0.5,0,,1,0,,,,
18,-15,1,0.5,,L3,Cold,,,,,,0.5,-1,,1,1,,,,
18,-15,0.5,0.75,,L4,Cold,,,,,,0.75,-1,,1,1,,,,
18,-15,1.5,1,,L5,Cold,,,,,,1,-1,,1,1,,,,
18,-15,0.1,0,,L1,Cold,,,,,,0,-1,,1,1,,,,
18,9,1.5,1,,L5,Hot,,,,,,1,1,,1,1,,,,
18,0,2,1,,L5,No,,,,,,1,0,,1,1,,,,
18,0,1,0,,L1,No,,,,,,0,0,,1,1,,,,
18,9,0.5,0.75,,L4,Hot,,,,,,0.75,1,,1,1,,,,
