Participant,Trial,Temperature,Duration,Direction,FeltThermal,numLocation,extraLocations,ThermalMatch,NumMatch,DirectionMatch,Location,FeltLocation,Displacement
1,47,-15,0.5,1,-1,3,,1,1,1,1,1.0,0.0
1,47,-15,0.5,1,-1,3,,1,1,1,2,0.41111109999999995,0.5888889
1,47,-15,0.5,1,-1,3,,1,1,1,3,0.0,0.0
1,48,0,0.25,0,0,3,,1,1,1,1,0.0,0.0
1,48,0,0.25,0,0,3,,1,1,1,2,0.48069439999999997,0.48069439999999997
1,48,0,0.25,0,0,3,,1,1,1,3,1.0,0.0
1,49,9,0.25,0,1,3,,1,1,1,1,0.0,0.0
1,49,9,0.25,0,1,3,,1,1,1,2,0.25013890000000005,0.25013890000000005
1,49,9,0.25,0,1,3,,1,1,1,3,1.0,0.0
1,50,-15,0.1,1,-1,3,,1,1,1,1,1.0,0.0
1,50,-15,0.1,1,-1,3,,1,1,1,2,0.5473611,0.45263889999999996
1,50,-15,0.1,1,-1,3,,1,1,1,3,0.0,0.0
1,51,9,0.1,1,1,3,,1,1,1,1,1.0,0.0
1,51,9,0.1,1,1,3,,1,1,1,2,0.6529166,0.34708340000000004
1,51,9,0.1,1,1,3,,1,1,1,3,0.0,0.0
1,52,9,0.5,0,1,3,,1,1,1,1,0.0,0.0
1,52,9,0.5,0,1,3,,1,1,1,2,0.3334722,0.3334722
1,52,9,0.5,0,1,3,,1,1,1,3,1.0,0.0
1,53,9,0.25,0,1,3,,1,1,1,1,0.0,0.0
1,53,9,0.25,0,1,3,,1,1,1,2,0.27513889999999996,0.27513889999999996
1,53,9,0.25,0,1,3,,1,1,1,3,1.0,0.0
1,54,9,0.25,1,1,3,,1,1,1,1,1.0,0.0
1,54,9,0.25,1,1,3,,1,1,1,2,0.7140276999999999,0.28597230000000007
1,54,9,0.25,1,1,3,,1,1,1,3,0.0,0.0
1,55,9,0.25,1,1,3,,1,1,1,1,1.0,0.0
1,55,9,0.25,1,1,3,,1,1,1,2,0.6918055000000001,0.3081944999999999
1,55,9,0.25,1,1,3,,1,1,1,3,0.0,0.0
1,56,-15,0.5,1,-1,3,,1,1,1,1,1.0,0.0
1,56,-15,0.5,1,-1,3,,1,1,1,2,1.0,0.0
1,56,-15,0.5,1,-1,3,,1,1,1,3,0.0,0.0
1,57,0,0.25,0,0,3,,1,1,1,1,0.0,0.0
1,57,0,0.25,0,0,3,,1,1,1,2,0.3611111,0.3611111
1,57,0,0.25,0,0,3,,1,1,1,3,1.0,0.0
1,58,0,0.1,1,0,3,,1,1,1,1,1.0,0.0
1,58,0,0.1,1,0,3,,1,1,1,2,0.6140277000000001,0.38597229999999993
1,58,0,0.1,1,0,3,,1,1,1,3,0.0,0.0
1,59,-15,0.5,0,-1,3,,1,1,1,1,0.0,0.0
1,59,-15,0.5,0,-1,3,,1,1,1,2,0.4195833,0.4195833
1,59,-15,0.5,0,-1,3,,1,1,1,3,1.0,0.0
1,60,-15,0.5,1,-1,3,,1,1,1,1,1.0,0.0
1,60,-15,0.5,1,-1,3,,1,1,1,2,0.6390277,0.3609723
1,60,-15,0.5,1,-1,3,,1,1,1,3,0.00013890000000005287,0.00013890000000005287
1,61,-15,0.5,0,-1,3,,1,1,1,1,0.0,0.0
1,61,-15,0.5,0,-1,3,,1,1,1,2,0.0,0.0
1,61,-15,0.5,0,-1,3,,1,1,1,3,1.0,0.0
1,62,-15,0.25,0,-1,3,,1,1,1,1,0.0,0.0
1,62,-15,0.25,0,-1,3,,1,1,1,2,0.12791660000000005,0.12791660000000005
1,62,-15,0.25,0,-1,3,,1,1,1,3,1.0,0.0
1,63,0,0.5,0,0,3,,1,1,1,1,0.0,0.0
1,63,0,0.5,0,0,3,,1,1,1,2,0.35013890000000003,0.35013890000000003
1,63,0,0.5,0,0,3,,1,1,1,3,1.0,0.0
1,64,-15,0.5,0,-1,3,,1,1,1,1,0.0,0.0
1,64,-15,0.5,0,-1,3,,1,1,1,2,0.17236110000000004,0.17236110000000004
1,64,-15,0.5,0,-1,3,,1,1,1,3,1.0,0.0
1,65,9,0.25,1,1,3,,1,1,1,1,1.0,0.0
1,65,9,0.25,1,1,3,,1,1,1,2,0.5695833,0.4304167
1,65,9,0.25,1,1,3,,1,1,1,3,0.0,0.0
