Participant,Temperature,Duration,Location,,,,,
17,-12,0.5,1,,209,1,-1,1
17,-12,0.5,0.5,,210,0.4527778,-1,1
17,0,1,0.25,,211,0.2388889,0,0
17,-12,1,1,,212,1,-1,0
17,9,0.1,0.25,,213,0.8111111,1,0
17,-12,1,0.25,,214,1,-1,0
17,-12,1,0.5,,215,0.8805556,-1,1
17,6,0.1,0.5,,216,0.5444444,1,0
17,-12,0.5,0.75,,217,0.2943056,-1,0
17,-12,1,1,,218,1,-1,0
17,-15,1,0.5,,219,0.9111111,-1,0
17,-12,0.1,0,,220,0.1611111,-1,0
17,9,1,1,,221,0.8861111,1,1
17,9,1,0.25,,222,0.1,1,1
17,9,0.1,0.25,,223,0.8361111,1,0
17,0,1,0.5,,224,0.5472222,0,0
17,-15,0.5,0.75,,225,0.75,-1,1
