T-15.0_D0.1_L0.0,T-15.0_D0.1_L0.25,T-15.0_D0.1_L0.5,T-15.0_D0.1_L0.75,T-15.0_D0.1_L1.0,T-15.0_D1.0_L0.0,T-15.0_D1.0_L0.25,T-15.0_D1.0_L0.5,T-15.0_D1.0_L0.75,T-15.0_D1.0_L1.0,T-15.0_D2.0_L0.0,T-15.0_D2.0_L0.25,T-15.0_D2.0_L0.5,T-15.0_D2.0_L0.75,T-15.0_D2.0_L1.0,T0.0_D0.1_L0.0,T0.0_D0.1_L0.25,T0.0_D0.1_L0.5,T0.0_D0.1_L0.75,T0.0_D0.1_L1.0,T0.0_D1.0_L0.0,T0.0_D1.0_L0.25,T0.0_D1.0_L0.5,T0.0_D1.0_L0.75,T0.0_D1.0_L1.0,T0.0_D2.0_L0.0,T0.0_D2.0_L0.25,T0.0_D2.0_L0.5,T0.0_D2.0_L0.75,T0.0_D2.0_L1.0,T9.0_D0.1_L0.0,T9.0_D0.1_L0.25,T9.0_D0.1_L0.5,T9.0_D0.1_L0.75,T9.0_D0.1_L1.0,T9.0_D1.0_L0.0,T9.0_D1.0_L0.25,T9.0_D1.0_L0.5,T9.0_D1.0_L0.75,T9.0_D1.0_L1.0,T9.0_D2.0_L0.0,T9.0_D2.0_L0.25,T9.0_D2.0_L0.5,T9.0_D2.0_L0.75,T9.0_D2.0_L1.0
0.5,0.3909644,0.288744,0.8407359,1.0,0.0,0.1728939,1.0,0.8384639,0.8997965,0.0,0.0,0.5,0.2569421,0.747601,0.1123427,0.0,0.4045942,1.0,1.0,0.0,0.120648,0.2319546,0.6453806,1.0,0.0,0.0,0.77486,0.8725375,0.895253,0.0,0.09793197,0.5,0.8188012,0.204696,0.0,0.1842515,0.5499746,0.8430071,0.8180199,0.0,0.1842515,0.6771823,0.9096639,0.7998471
0.0,0.2599948,0.7544159,0.6930833,0.8770806,0.3637058,0.0,0.6885403,0.7370246,0.8361927,0.0,0.0,0.1100712,1.0,0.7544159,0.0,0.0,0.7862179,1.0,0.849822,0.1274624,0.0,0.5,0.1887946,1.0,0.0,0.02069865,0.3394996,0.6499237,0.8339209,0.1282437,0.2387692,0.9088826,0.1479065,0.763502,0.0,0.2069671,0.6362942,0.5,0.8248345,0.0,0.1100711,0.8816237,0.3228173,0.6771823
0.8952533,0.5,0.806662,0.2251397,0.6680962,0.3160028,0.1592644,0.1274624,0.8089335,0.7953044,0.0,0.25,0.5,0.7203423,1.0,0.0,0.1388204,0.04568581,1.0,0.7044413,0.0,0.1115618,0.2387695,0.6635529,0.8475501,0.0,0.3523479,0.5363451,0.5,0.7044412,0.0,0.0,0.4114088,0.8770806,0.9868,0.0,0.1569929,1.0,0.5,1.0,0.0,0.2455838,0.2932871,0.7317003,0.7137821
1.0,0.122919,1.0,0.7135277,1.0,0.0,0.2910153,0.2705716,0.8475505,0.9770297,0.0,0.3750634,0.9520425,1.0,1.0,0.0,0.172894,0.5,0.7248854,1.0,0.3137312,0.150178,0.2872535,0.177437,0.908883,0.0,0.0,1.0,0.822563,0.7067125,0.2622664,0.1638078,0.6022207,1.0,1.0,0.1660794,0.08430248,0.4000508,1.0,0.6976264,0.0,0.1214288,0.46789127,0.6113071,1.0
0.1464162,0.13882,0.6226646,0.8838955,0.6317511,0.0,0.27887,0.5,0.6976267,1.0,0.2115104,0.2024241,0.5,0.9868976,1.0,0.0,0.05477231,0.2887441,0.6953552,1.0,0.0,0.2274116,0.0,0.75,0.9111545,0.1623172,0.0,0.02751335,0.3546194,0.8682492,0.1660793,0.08203089,0.1161044,0.9588573,0.7657738,0.1047468,0.0,0.1320055,1.0,0.8430074,0.0,0.2887441,0.6090356,0.4341244,1.0
0.7839464,0.07067327,0.8452787,0.9202406,0.5,0.0,0.1274624,0.3864214,0.7612308,1.0,0.166079,0.0,0.8293779,0.9838447,0.9384131,0.0,0.0,0.3568912,0.8271061,0.9270553,0.0,0.177437,0.0,1.0,1.0,0.0,0.2296831,0.1115614,0.7339718,1.0,0.1297339,0.08657397,0.8589079,0.9111542,0.8293775,0.0,0.3137312,0.0,0.5,1.0,0.1092899,0.0,0.3182743,0.795304,0.8134766
0.2501272,0.1569926,0.7239,0.5,1.0,0.1342773,0.0,0.3841498,0.8134768,0.9066111,0.2887437,0.1002034,0.6476521,0.8248345,0.8952532,0.0,0.1161044,1.0,0.8929815,1.0,0.04341432,0.1100712,0.5590607,0.9020681,0.8566365,0.0,0.0,0.6908118,1.0,0.8884384,0.150178,0.08203092,0.102475,0.7862183,0.870266,0.08203126,0.5,0.5598419,0.9702152,1.0,0.0,0.2637566,0.0,0.8748091,1.0
0.0,0.3387183,0.7157993,0.56992,0.8937629,0.1774369,0.05477195,0.8907101,0.7521444,1.0,0.7157992,0.7816749,0.8157483,0.843007,0.815748,0.0,0.1842515,0.8611797,0.874809,0.8634511,0.0,0.0,0.89071,0.6431091,1.0,0.0,0.3114597,0.7703169,1.0,0.8816236,0.2228685,0.2932872,0.8566365,0.7779127,0.865723,0.0,0.1024753,0.5,0.8952531,1.0,0.06840139,0.3205458,0.9323794,1.0,1.0
0.339369,0.71023,0.7622964,1.0,0.7180708,0.1842515,0.6703677,0.8293776,0.7589589,0.9293267,0.305426,0.5,0.193338,0.8566368,0.9474992,0.2963399,0.1320055,1.0,0.5999491,0.8180199,0.1214287,0.07067296,0.6249365,0.7476012,0.8407354,0.1024753,0.1956095,0.8339209,1.0,0.8566365,0.8089338,0.0,0.5,0.8793522,0.5,0.1388204,0.7566874,0.9043396,0.8066619,0.8483314,0.01615564,0.3773352,0.5590607,0.6771827,0.93387
0.2417703,0.25,0.593532,1.0,0.8634513,0.2910153,0.5817766,0.9293267,0.897525,0.833921,0.8543649,0.5999491,0.2463654,0.8180199,0.9179687,0.5,0.2682997,0.5,0.9202405,0.8611799,0.3727919,0.3886932,0.9179691,0.902068,0.9952022,0.06612986,0.5,0.831649,0.886167,0.8384639,0.1547211,0.3977793,0.09338883,0.8679945,0.6431087,0.0,0.0275133,0.3955078,0.9210217,0.6476521,0.0,0.1501783,0.8293776,0.8384639,0.9088829
