participantNumber,trialNumber,feltThermal,numberOfLocations,location1,location2,location3,extraLocations
5,1,1,2,0.9086944,0.1543383
5,65,0,3,0,0,1
5,66,0,3,1,0.4571075,0
5,67,1,3,0,0,0.8621212
5,68,0,3,1,0.4562007,0
5,69,1,3,1,1,0
5,70,1,3,0,0.1301313,1
5,71,0,3,1,1,0
5,72,0,3,1,0.4835401,0
5,73,1,3,1,0.4998069,0
5,74,0,3,1,1,0
5,75,0,3,1,0.4794739,0
5,76,1,3,0,0.4310603,0.9068537
5,77,1,3,0,0.23993,0.9963195
5,78,0,3,0,0.1898376,0.9706268
5,79,0,3,0.04547293,0.25897,0.8872615
5,80,1,3,0,0.4513937,1
5,81,0,3,0,0.4704337,0.9787602
5,82,0,3,0.2295707,0.5223663,0.9818935
5,83,0,3,0.02623989,0.4369672,1
5,84,0,3,0.1075723,0.4471345,0.8314288
5,85,0,3,0.009973606,0.3820682,0.7907626
5,86,0,3,1,0.4733738,0.1491717
5,87,1,3,1,0.5669058,0.1785447
5,88,1,3,0.5,0.5691323,0.9737601
5,89,0,3,1,0.5578657,0.06173968
5,90,1,3,0,0.4086944,1
5,91,0,3,0.05470623,0.4451006,1
5,92,0,3,1,0.5242065,0
5,93,0,3,1,1,0
5,94,0,3,1,0.5375327,0.09833897
5,95,0,3,1,1,0
5,96,1,3,0,0.422927,1
5,97,0,3,1,0.4745004,0.1024057
5,98,1,3,1,1,0.01294032
5,99,0,3,0,0.313129,1
5,100,0,3,0.06173968,0.446034,0.9604601
5,101,1,3,0.9696938,0.5558323,0.06580593
5,102,0,3,1,0.6717307,0.0231066
5,103,0,3,1,0.7083305,0.04547293
5,104,1,3,1,0.513133,0.02717329
5,105,0,3,0.9746935,0.5619324,0.06173968
5,106,1,3,1,0.5436327,0.1146053
5,107,0,3,0.03530666,0.4114676,0.9421605
5,108,1,3,1,0.6543379,0.09314573
5,109,0,3,0.05767299,0.4297677,0.9340276
5,110,0,3,0.08410598,0.5212664,0.9665601
5,111,0,3,0.04750628,0.358602,0.8750615
5,112,0,3,0.06173968,0.4033347,0.9035279
5,113,0,3,0.9543605,0.7449297,0.2671033
5,114,1,3,1,0.5415994,0.07393929
5,115,0,3,0.9665601,0.9665601,0.002773612
5,116,0,3,1,1,0.1878043
5,117,0,3,0.9767268,0.5354993,0.02107326
5,118,0,3,1,0.7245967,0.05767299
5,119,0,3,0.8781947,0.8781947,0.08613892
5,120,0,3,0,0.3016693,0.9726602
5,121,1,3,0,0.4229274,1
5,122,0,3,0,0.4574933,1
5,123,0,3,0,0,1
5,124,1,3,0,0.4310608,1
5,125,-1,2,1,0.6757974
5,126,1,3,0.02920663,0.399268,0.9970598
5,127,0,3,0.03530666,0.2162707,0.9604601
5,128,0,3,0.9929932,0.7530631,0.1613713
5,129,1,3,0.04343959,0.4033347,0.9665601
5,130,1,3,0,0.414794,0.9848598
5,131,0,3,0.9482605,0.7286634,0.03734
5,132,0,3,1,0.4968667,0.08207267
5,133,0,3,1,1,0.0902056
5,134,0,3,1,0.4907667,0.03327332
5,135,0,3,1,0.694097,0.07393927
5,136,0,3,1,1,0.0231066
5,137,0,3,0.03937291,0.273203,0.9380938
5,138,0,3,0.04750628,0.4907667,0.9563939
5,139,0,3,0.0007402693,0.3281023,1
5,140,0,3,1,0.5700657,0
5,141,0,3,1,0.5009334,0.04140625
5,142,0,3,0.006840297,0.4480674,0.9706268
5,143,1,3,0.9950265,0.5944654,0.03734
5,144,0,3,0.03327332,0.2081377,0.9787602
5,145,0,3,1,0.6299386,0
5,146,0,3,1,0.4388075,0.0231066
5,147,0,3,0.9726602,0.7266301,0.01497367
5,148,0,3,1,0.7031372,0
5,149,0,3,0,0.4452937,1
5,150,1,3,1,0.5160732,0
5,151,1,3,0.00887364,0.507033,0.9767268
5,152,0,3,0,0.5225589,1
5,153,0,3,1,1,0.05451358
5,154,1,3,0,0.4249603,1
5,155,0,3,1,0.6706042,0.03937291
5,156,1,3,0,0.4440007,0.9584272
5,157,0,3,0.002773612,0.419601,0.9767268
5,158,0,3,0.02107326,0.4562007,0.9482605
5,159,1,3,0.05970633,0.3098027,0.9360609
5,160,0,3,1,0.5262399,0
5,161,0,3,1,0.5761653,0
5,162,1,3,1,0.4358673,0.01903992
5,163,1,3,1,0.8425289,0.02920663
5,164,0,3,0,0.4277344,0.9543605
5,165,1,3,0.01903992,0.4419673,0.9482605
5,166,0,3,1,0.5842987,0.04547293
5,167,0,3,0,0,0.8404955
5,168,0,3,1,0.8323622,0.02107326
5,169,0,3,0.9828265,0.519233,0.09833895
5,170,1,3,1,0.5842987,0.03734
5,171,1,3,0,0.466367,0.9238608
5,172,1,3,0.9848598,0.4907667,0.06580593
5,173,0,3,0.02717329,0.5314327,0.9767268
5,174,1,3,0.9828265,0.5476994,0.08613892
5,175,0,3,0.9340276,0.4887334,0.01497367
5,176,1,3,0.05970633,0.1695047,0.9238608
5,177,1,3,1,0.574132,0.04140625
5,178,1,3,0.9635938,0.5232998,0.02920663
5,179,0,3,0.05360631,0.2345703,0.9665601
5,180,1,3,0.06987261,0.3301357,1
