Participant,Trial,Temperature,Duration,Direction,FeltThermal,numLocation,extraLocations,ThermalMatch,NumMatch,DirectionMatch,Location,FeltLocation,Displacement
1,58,0,0.1,1,0,3,,1,1,1,3,1.0,0.0
1,59,-15,0.5,0,-1,3,,1,1,1,1,1.0,0.0
1,59,-15,0.5,0,-1,3,,1,1,1,2,0.5804167,0.4195833
1,59,-15,0.5,0,-1,3,,1,1,1,3,0.0,0.0
1,60,-15,0.5,1,-1,3,,1,1,1,1,0.0,0.0
1,60,-15,0.5,1,-1,3,,1,1,1,2,0.3609723,0.3609723
1,60,-15,0.5,1,-1,3,,1,1,1,3,0.9998611,0.00013890000000005287
1,61,-15,0.5,0,-1,3,,1,1,1,1,1.0,0.0
1,61,-15,0.5,0,-1,3,,1,1,1,2,1.0,0.0
1,61,-15,0.5,0,-1,3,,1,1,1,3,0.0,0.0
1,62,-15,0.25,0,-1,3,,1,1,1,1,1.0,0.0
1,62,-15,0.25,0,-1,3,,1,1,1,2,0.8720834,0.12791660000000005
1,62,-15,0.25,0,-1,3,,1,1,1,3,0.0,0.0
1,63,0,0.5,0,0,3,,1,1,1,1,1.0,0.0
1,63,0,0.5,0,0,3,,1,1,1,2,0.6498611,0.35013890000000003
1,63,0,0.5,0,0,3,,1,1,1,3,0.0,0.0
1,64,-15,0.5,0,-1,3,,1,1,1,1,1.0,0.0
1,64,-15,0.5,0,-1,3,,1,1,1,2,0.8276389,0.17236110000000004
1,64,-15,0.5,0,-1,3,,1,1,1,3,0.0,0.0
1,65,9,0.25,1,1,3,,1,1,1,1,0.0,0.0
1,65,9,0.25,1,1,3,,1,1,1,2,0.4304167,0.4304167
1,65,9,0.25,1,1,3,,1,1,1,3,1.0,0.0
1,66,-15,0.25,1,-1,3,,1,1,1,1,0.0,0.0
1,66,-15,0.25,1,-1,3,,1,1,1,2,0.3526389,0.3526389
1,66,-15,0.25,1,-1,3,,1,1,1,3,1.0,0.0
1,67,0,0.5,1,0,3,,1,1,1,1,0.0,0.0
1,67,0,0.5,1,0,3,,1,1,1,2,0.4248611,0.4248611
1,67,0,0.5,1,0,3,,1,1,1,3,0.9970834,0.002916600000000047
1,68,0,0.1,1,0,3,,1,1,1,1,0.0,0.0
1,68,0,0.1,1,0,3,,1,1,1,2,0.4998612,0.4998612
1,68,0,0.1,1,0,3,,1,1,1,3,1.0,0.0
1,69,0,0.1,0,0,3,,1,1,1,1,1.0,0.0
1,69,0,0.1,0,0,3,,1,1,1,2,0.6193056,0.3806944
1,69,0,0.1,0,0,3,,1,1,1,3,0.0,0.0
1,70,-15,0.5,0,-1,3,,1,1,1,1,1.0,0.0
1,70,-15,0.5,0,-1,3,,1,1,1,2,0.7081945,0.29180550000000005
1,70,-15,0.5,0,-1,3,,1,1,1,3,0.0,0.0
1,71,0,0.1,0,0,3,,1,1,1,1,1.0,0.0
1,71,0,0.1,0,0,3,,1,1,1,2,0.6498612,0.3501388
1,71,0,0.1,0,0,3,,1,1,1,3,0.0,0.0
1,72,0,0.1,0,0,3,,1,1,1,1,1.0,0.0
1,72,0,0.1,0,0,3,,1,1,1,2,0.6776389,0.32236109999999996
1,72,0,0.1,0,0,3,,1,1,1,3,0.0,0.0
1,73,0,0.1,0,0,3,,1,1,1,1,1.0,0.0
1,73,0,0.1,0,0,3,,1,1,1,2,0.6693056,0.33069440000000005
1,73,0,0.1,0,0,3,,1,1,1,3,0.0,0.0
1,74,9,0.5,1,1,3,,1,1,1,1,0.0,0.0
1,74,9,0.5,1,1,3,,1,1,1,2,0.1248611,0.1248611
1,74,9,0.5,1,1,3,,1,1,1,3,1.0,0.0
1,75,0,0.25,1,0,3,,1,1,1,1,0.0,0.0
1,75,0,0.25,1,0,3,,1,1,1,2,0.2359723,0.2359723
1,75,0,0.25,1,0,3,,1,1,1,3,1.0,0.0
1,76,-15,0.1,1,-1,3,,1,1,1,1,0.0,0.0
1,76,-15,0.1,1,-1,3,,1,1,1,2,0.2609723,0.2609723
1,76,-15,0.1,1,-1,3,,1,1,1,3,1.0,0.0
1,77,-15,0.25,1,-1,3,,1,1,1,1,0.0,0.0
1,77,-15,0.25,1,-1,3,,1,1,1,2,0.2220834,0.2220834
1,77,-15,0.25,1,-1,3,,1,1,1,3,1.0,0.0
1,78,-15,0.25,1,-1,3,,1,1,1,1,0.0,0.0
1,78,-15,0.25,1,-1,3,,1,1,1,2,0.0,0.0
1,78,-15,0.25,1,-1,3,,1,1,1,3,0.9972222,0.0027778000000000524
1,79,0,0.25,0,0,3,,1,1,1,1,1.0,0.0
1,79,0,0.25,0,0,3,,1,1,1,2,0.7887501,0.2112499
1,79,0,0.25,0,0,3,,1,1,1,3,0.0,0.0
1,80,9,0.5,0,1,3,,1,1,1,1,1.0,0.0
1,80,9,0.5,0,1,3,,1,1,1,2,1.0,0.0
1,80,9,0.5,0,1,3,,1,1,1,3,0.0,0.0
1,81,9,0.5,1,1,3,,1,1,1,1,0.0,0.0
1,81,9,0.5,1,1,3,,1,1,1,2,0.2748612,0.2748612
