Participant,Temperature,Duration,Direction,mean,std,count,z_score,is_outlier
7,0,2.0,0,0.6666666666666666,0.5163977794943222,6,-0.37847458259267674,False
7,0,2.0,1,0.0,0.0,4,-2.5026609993255935,True
7,9,0.1,0,0.8571428571428571,0.37796447300922725,7,0.22843582218815667,False
7,9,0.1,1,0.5,0.7071067811865476,2,-0.9095211867759059,False
7,9,1.0,0,0.6,0.5477225575051661,5,-0.5908932242659684,False
7,9,1.0,1,1.0,0.0,5,0.6836186257737819,False
7,9,2.0,0,0.6,0.5477225575051661,5,-0.5908932242659684,False
7,9,2.0,1,0.7777777777777778,0.4409585518440985,9,-0.024443513137190415,False
8,-15,0.1,0,0.5714285714285714,0.5345224838248488,7,-0.6819297849830934,False
8,-15,0.1,1,0.0,,1,-2.5026609993255935,True
8,-15,1.0,0,0.5,0.5773502691896257,4,-0.9095211867759059,False
8,-15,1.0,1,0.8,0.4472135954999579,5,0.04636270075390692,False
8,-15,2.0,0,1.0,0.0,6,0.6836186257737819,False
8,-15,2.0,1,1.0,0.0,6,0.6836186257737819,False
8,0,0.1,0,1.0,0.0,4,0.6836186257737819,False
8,0,0.1,1,0.8571428571428571,0.37796447300922725,7,0.22843582218815667,False
8,0,1.0,0,1.0,0.0,3,0.6836186257737819,False
8,0,1.0,1,0.875,0.3535533905932738,8,0.28533367263635995,False
8,0,2.0,0,1.0,0.0,6,0.6836186257737819,False
8,0,2.0,1,1.0,0.0,6,0.6836186257737819,False
8,9,0.1,0,0.6666666666666666,0.5,9,-0.37847458259267674,False
8,9,0.1,1,0.6666666666666666,0.5,9,-0.37847458259267674,False
8,9,1.0,0,0.9,0.31622776601683794,10,0.3649906632638444,False
8,9,1.0,1,0.9,0.31622776601683794,10,0.3649906632638444,False
8,9,2.0,0,0.8888888888888888,0.3333333333333333,9,0.32958755631829556,False
8,9,2.0,1,0.9,0.31622776601683794,10,0.3649906632638444,False
9,-15,0.1,0,0.0,0.0,6,-2.5026609993255935,True
9,-15,0.1,1,0.0,0.0,7,-2.5026609993255935,True
9,-15,1.0,0,1.0,0.0,8,0.6836186257737819,False
9,-15,1.0,1,1.0,0.0,8,0.6836186257737819,False
9,-15,2.0,0,0.875,0.3535533905932738,8,0.28533367263635995,False
9,-15,2.0,1,1.0,0.0,9,0.6836186257737819,False
9,0,0.1,0,0.2222222222222222,0.4409585518440985,9,-1.7945988604146215,False
9,0,0.1,1,0.42857142857142855,0.5345224838248488,7,-1.1371125885687186,False
9,0,1.0,0,1.0,0.0,10,0.6836186257737819,False
9,0,1.0,1,0.875,0.3535533905932738,8,0.28533367263635995,False
