Participant,Trial,Temperature,Duration,Location,FeltThermal,FeltLocation,ThermalMatch,LocationError
1,129,9,2.0,0.5,1,0.6111111,1,-0.11111110000000002
1,78,9,2.0,0.75,1,0.6805556,1,0.06944439999999996
1,92,9,2.0,0.75,1,0.7944444,1,-0.04444440000000005
1,103,9,2.0,0.75,1,0.7583333,1,-0.008333299999999988
1,179,9,2.0,0.75,1,0.7026389,1,0.047361100000000045
1,5,9,2.0,1.0,1,0.8304167,1,0.1695833
1,113,9,2.0,1.0,1,0.6361111,1,0.36388889999999996
1,137,9,2.0,1.0,1,0.6444445,1,0.3555555
1,160,9,2.0,1.0,1,0.6083333,1,0.39166670000000003
1,172,9,2.0,1.0,1,0.6166667,1,0.3833333
2,1,9,0.1,0.25,1,0.1833333,1,0.0666667
2,2,0,1.0,0.25,0,0.6944444,1,-0.44444439999999996
2,3,0,1.0,0.0,0,0.0,1,0.0
2,4,9,1.0,0.5,1,0.4665278,1,0.03347220000000001
2,5,-15,1.0,0.5,-1,0.275,1,0.22499999999999998
2,6,-15,1.0,0.5,-1,0.5222222,1,-0.02222219999999997
2,7,0,0.1,0.0,0,0.0,1,0.0
2,8,-15,0.1,0.0,-1,0.1583333,1,-0.1583333
2,9,-15,0.1,0.25,-1,0.4305556,1,-0.18055559999999998
2,10,9,0.1,1.0,1,0.6388889,1,0.3611111
2,11,9,0.1,0.5,1,1.0,1,-0.5
2,12,-15,1.0,1.0,-1,0.5694444,1,0.43055560000000004
2,13,-15,0.1,0.25,-1,0.2388889,1,0.011111100000000013
2,14,0,1.0,0.0,0,0.0,1,0.0
2,15,-15,1.0,1.0,-1,1.0,1,0.0
2,16,-15,2.0,1.0,-1,1.0,1,0.0
2,17,0,0.1,0.75,0,1.0,1,-0.25
2,18,9,2.0,0.75,1,0.8555555,1,-0.10555550000000002
2,19,-15,0.1,0.5,-1,0.7805555,1,-0.28055549999999996
2,20,-15,1.0,0.75,-1,1.0,1,-0.25
2,21,9,1.0,1.0,1,1.0,1,0.0
2,22,0,1.0,0.0,0,0.0,1,0.0
2,24,-15,0.1,0.25,-1,0.2861111,1,-0.03611110000000001
2,25,-15,1.0,0.25,-1,0.2305555,1,0.019444500000000003
2,26,-15,0.1,0.75,-1,1.0,1,-0.25
2,27,9,2.0,1.0,1,1.0,1,0.0
2,28,-15,0.1,0.25,-1,0.0,1,0.25
2,29,-15,0.1,0.5,-1,0.5194445,1,-0.019444499999999976
2,30,9,1.0,0.0,1,0.0,1,0.0
2,31,-15,1.0,0.5,-1,0.4666667,1,0.03333330000000001
2,32,0,2.0,0.5,0,0.2194444,1,0.2805556
2,33,0,2.0,0.5,0,0.7611111,1,-0.26111110000000004
2,34,-15,0.1,0.0,-1,0.175,1,-0.175
2,35,0,2.0,0.0,0,0.0,1,0.0
2,36,-15,2.0,0.5,-1,0.7083333,1,-0.20833330000000005
2,37,-15,0.1,0.75,-1,1.0,1,-0.25
2,38,9,2.0,1.0,1,0.6944444,1,0.30555560000000004
2,39,9,1.0,0.75,1,0.4331945,1,0.3168055
2,40,0,1.0,0.5,0,0.7444444,1,-0.2444444
2,41,0,1.0,0.0,0,0.0,1,0.0
2,42,-15,1.0,1.0,-1,1.0,1,0.0
2,43,0,1.0,0.75,0,0.4804167,1,0.2695833
2,44,9,2.0,0.75,1,1.0,1,-0.25
2,45,-15,1.0,1.0,-1,1.0,1,0.0
2,46,9,2.0,0.75,1,0.8388889,1,-0.08888890000000005
2,47,9,0.1,1.0,1,0.7805555,1,0.21944450000000004
2,48,0,0.1,0.5,0,0.7583333,1,-0.2583333
2,49,9,2.0,0.0,1,0.0,1,0.0
2,50,0,0.1,0.75,0,1.0,1,-0.25
2,51,0,2.0,0.0,0,0.0,1,0.0
2,52,-15,2.0,0.75,-1,1.0,1,-0.25
2,53,9,1.0,0.0,1,0.0,1,0.0
2,54,9,1.0,0.25,1,0.2415278,1,0.008472200000000013
2,55,9,1.0,1.0,1,1.0,1,0.0
2,56,-15,1.0,0.75,-1,0.7777778,1,-0.027777799999999964
2,57,9,0.1,0.25,1,0.0,1,0.25
2,58,9,0.1,0.5,1,1.0,1,-0.5
2,59,-15,0.1,0.75,-1,0.45,1,0.3
2,60,0,0.1,0.0,0,0.1277778,1,-0.1277778
2,61,9,1.0,0.25,1,0.3943056,1,-0.14430559999999998
2,62,9,1.0,0.75,1,0.8305556,1,-0.08055559999999995
2,64,-15,1.0,0.25,-1,0.4444444,1,-0.19444440000000002
2,65,0,0.1,0.25,0,0.0,1,0.25
2,66,-15,2.0,1.0,-1,1.0,1,0.0
2,67,0,0.1,1.0,0,1.0,1,0.0
2,68,0,0.1,1.0,0,1.0,1,0.0
2,69,-15,0.1,0.5,-1,0.5361111,1,-0.03611109999999995
2,70,0,2.0,0.25,0,0.2638889,1,-0.013888899999999982
2,71,-15,1.0,0.25,-1,0.3,1,-0.04999999999999999
2,72,9,0.1,0.25,1,0.0,1,0.25
2,73,0,2.0,1.0,0,1.0,1,0.0
2,74,-15,2.0,0.0,-1,0.0,1,0.0
2,75,9,1.0,1.0,1,1.0,1,0.0
